"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that removing an item from the cart empties it and hides the cart badge from the header.","21190","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Suite","Thu Oct 09 03:28:44 UTC 2025","broken","Thu Oct 09 03:29:05 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","21229","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Thu Oct 09 03:30:59 UTC 2025","broken","Thu Oct 09 03:31:20 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","831","TC_SD_011_sortProductsByNameAToZ","SauceDemo Suite","Thu Oct 09 03:30:13 UTC 2025","passed","Thu Oct 09 03:30:14 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Verify that adding a single item updates the cart badge and displays the item inside the cart.","21361","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Suite","Thu Oct 09 03:28:22 UTC 2025","broken","Thu Oct 09 03:28:43 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","21216","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Suite","Thu Oct 09 03:29:50 UTC 2025","broken","Thu Oct 09 03:30:12 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"Verify that a user can complete the full checkout process from cart to the 'Checkout: Complete!' page.","21176","TC_SD_006_completeCheckoutFlow","SauceDemo Suite","Thu Oct 09 03:30:36 UTC 2025","broken","Thu Oct 09 03:30:57 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","TC_SD_006_completeCheckoutFlow"
"Verify that leaving the 'Last Name' field empty during checkout triggers the correct validation error message and prevents proceeding to the next step.","21158","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Suite","Thu Oct 09 03:31:21 UTC 2025","broken","Thu Oct 09 03:31:42 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"Verify that a locked-out user cannot log in and receives the correct error message.","659","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Suite","Thu Oct 09 03:30:58 UTC 2025","passed","Thu Oct 09 03:30:58 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","20810","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Thu Oct 09 03:30:15 UTC 2025","broken","Thu Oct 09 03:30:35 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Validate that item total, tax, and overall total are correctly calculated and displayed on the checkout overview page.","21196","TC_SD_012_verifyTotalsAndTaxOnOverview","SauceDemo Suite","Thu Oct 09 03:29:27 UTC 2025","broken","Thu Oct 09 03:29:49 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","TC_SD_012_verifyTotalsAndTaxOnOverview"
