"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that adding a single item updates the cart badge and displays the item inside the cart.","872","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Full Suite","Thu Oct 30 02:34:23 UTC 2025","passed","Thu Oct 30 02:34:24 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
"Verify that login with invalid password shows the correct error message and stays on login page","570","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin","SauceDemo Full Suite","Thu Oct 30 02:34:32 UTC 2025","passed","Thu Oct 30 02:34:32 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin"
"Verify that a user can complete the full checkout process from cart to the 'Checkout: Complete!' page.","1178","TC_SD_006_completeCheckoutFlow","SauceDemo Full Suite","Thu Oct 30 02:34:36 UTC 2025","passed","Thu Oct 30 02:34:37 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","TC_SD_006_completeCheckoutFlow"
"Verify that leaving the 'Last Name' field empty during checkout triggers the correct validation error message and prevents proceeding to the next step.","1127","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Full Suite","Thu Oct 30 02:34:40 UTC 2025","passed","Thu Oct 30 02:34:41 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"Verify that leaving the 'Postal Code' field empty during checkout shows the correct validation error and prevents moving to the next step.","1116","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Full Suite","Thu Oct 30 02:34:41 UTC 2025","passed","Thu Oct 30 02:34:43 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","1079","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Full Suite","Thu Oct 30 02:34:38 UTC 2025","passed","Thu Oct 30 02:34:39 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that a locked-out user cannot log in and receives the correct error message.","526","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Full Suite","Thu Oct 30 02:34:37 UTC 2025","passed","Thu Oct 30 02:34:38 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","701","TC_SD_011_sortProductsByNameAToZ","SauceDemo Full Suite","Thu Oct 30 02:34:33 UTC 2025","passed","Thu Oct 30 02:34:33 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Validate that item total, tax, and overall total are correctly calculated and displayed on the checkout overview page.","1282","TC_SD_012_verifyTotalsAndTaxOnOverview","SauceDemo Full Suite","Thu Oct 30 02:34:27 UTC 2025","passed","Thu Oct 30 02:34:28 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","TC_SD_012_verifyTotalsAndTaxOnOverview"
"Verify that clicking a product name opens its details page, and using the 'Back to Products' button correctly returns to the main product list.","808","TC_SD_010_productDetailsAndBack","SauceDemo Full Suite","Thu Oct 30 02:34:25 UTC 2025","passed","Thu Oct 30 02:34:26 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"Verify that removing an item from the cart empties it and hides the cart badge from the header.","939","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Full Suite","Thu Oct 30 02:34:24 UTC 2025","passed","Thu Oct 30 02:34:25 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","949","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Full Suite","Thu Oct 30 02:34:29 UTC 2025","passed","Thu Oct 30 02:34:30 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","1431","TC_SD_009_logoutAndAccessProtection","SauceDemo Full Suite","Thu Oct 30 02:34:34 UTC 2025","passed","Thu Oct 30 02:34:35 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Verify that a user can successfully log in with valid credentials and navigate to the products page","611","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Full Suite","Thu Oct 30 02:34:28 UTC 2025","passed","Thu Oct 30 02:34:29 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
"Verify that selecting 'Price (low to high)' from the sort dropdown correctly arranges products in ascending order by price.","1490","TC_SD_007_sortByPriceLowToHigh","SauceDemo Full Suite","Thu Oct 30 02:34:21 UTC 2025","passed","Thu Oct 30 02:34:22 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","TC_SD_007_sortByPriceLowToHigh"
