"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"12","","0","","0","0","","0"
"0","SauceDemo Automation","0","Security","0","1","Logout and access protection","0"
"0","SauceDemo Automation","0","Login","0","1","Login with valid credentials","0"
"0","SauceDemo Automation","0","Login","0","1","Login with invalid credentials","0"
"0","SauceDemo Automation","0","Cart","0","1","Add a single product to cart","0"
"0","SauceDemo Automation","0","Checkout","0","1","Verify totals and tax calculation on Checkout Overview","0"
"0","SauceDemo Automation","0","Cart","0","1","Cart state persists after navigation","0"
"0","SauceDemo Automation","0","Checkout","0","1","Negative checkout: missing Postal Code field","0"
"0","SauceDemo Automation","0","Products","0","1","View product details and return to product list","0"
"0","SauceDemo Automation","0","Cart","0","1","Remove item from cart","0"
"0","SauceDemo Automation","0","Products","0","1","Sort products alphabetically (A → Z)","0"
"0","SauceDemo Automation","0","Login","0","1","Login with locked-out user account","0"
"0","SauceDemo Automation","0","Checkout","0","1","Negative checkout: missing required field","0"
"0","SauceDemo Automation","0","Checkout","0","1","Complete checkout process successfully","0"
"0","SauceDemo Automation","0","Checkout","0","1","Negative checkout: missing Last Name field","0"
"0","SauceDemo Automation","0","Products","0","1","Sort products by price (Low → High)","0"
