"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can complete the full checkout process from cart to the 'Checkout: Complete!' page.","1189","TC_SD_006_completeCheckoutFlow","SauceDemo Full Suite","Thu Oct 30 01:57:39 UTC 2025","passed","Thu Oct 30 01:57:40 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","TC_SD_006_completeCheckoutFlow"
"Verify that removing an item from the cart empties it and hides the cart badge from the header.","922","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Full Suite","Thu Oct 30 01:57:28 UTC 2025","passed","Thu Oct 30 01:57:29 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
"Verify that login with invalid password shows the correct error message and stays on login page","560","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin","SauceDemo Full Suite","Thu Oct 30 01:57:35 UTC 2025","passed","Thu Oct 30 01:57:36 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin"
"Verify that leaving the 'Postal Code' field empty during checkout shows the correct validation error and prevents moving to the next step.","1102","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Full Suite","Thu Oct 30 01:57:45 UTC 2025","passed","Thu Oct 30 01:57:46 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","1329","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Full Suite","Thu Oct 30 01:57:42 UTC 2025","passed","Thu Oct 30 01:57:43 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that a locked-out user cannot log in and receives the correct error message.","558","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Full Suite","Thu Oct 30 01:57:41 UTC 2025","passed","Thu Oct 30 01:57:41 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"Validate that item total, tax, and overall total are correctly calculated and displayed on the checkout overview page.","1306","TC_SD_012_verifyTotalsAndTaxOnOverview","SauceDemo Full Suite","Thu Oct 30 01:57:31 UTC 2025","passed","Thu Oct 30 01:57:32 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","TC_SD_012_verifyTotalsAndTaxOnOverview"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","941","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Full Suite","Thu Oct 30 01:57:34 UTC 2025","passed","Thu Oct 30 01:57:35 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"Verify that leaving the 'Last Name' field empty during checkout triggers the correct validation error message and prevents proceeding to the next step.","1190","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Full Suite","Thu Oct 30 01:57:44 UTC 2025","passed","Thu Oct 30 01:57:45 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","673","TC_SD_011_sortProductsByNameAToZ","SauceDemo Full Suite","Thu Oct 30 01:57:36 UTC 2025","passed","Thu Oct 30 01:57:37 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Verify that selecting 'Price (low to high)' from the sort dropdown correctly arranges products in ascending order by price.","1367","TC_SD_007_sortByPriceLowToHigh","SauceDemo Full Suite","Thu Oct 30 01:57:25 UTC 2025","passed","Thu Oct 30 01:57:26 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","TC_SD_007_sortByPriceLowToHigh"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","1439","TC_SD_009_logoutAndAccessProtection","SauceDemo Full Suite","Thu Oct 30 01:57:37 UTC 2025","passed","Thu Oct 30 01:57:39 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Verify that clicking a product name opens its details page, and using the 'Back to Products' button correctly returns to the main product list.","802","TC_SD_010_productDetailsAndBack","SauceDemo Full Suite","Thu Oct 30 01:57:30 UTC 2025","passed","Thu Oct 30 01:57:31 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"Verify that adding a single item updates the cart badge and displays the item inside the cart.","876","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Full Suite","Thu Oct 30 01:57:27 UTC 2025","passed","Thu Oct 30 01:57:28 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
"Verify that a user can successfully log in with valid credentials and navigate to the products page","637","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Full Suite","Thu Oct 30 01:57:33 UTC 2025","passed","Thu Oct 30 01:57:33 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","Run All Tests by Package","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
