"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","0","TC_SD_011_sortProductsByNameAToZ","SauceDemo Suite","Thu Oct 09 01:53:19 UTC 2025","skipped","Thu Oct 09 01:53:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","0","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Suite","Thu Oct 09 01:53:19 UTC 2025","skipped","Thu Oct 09 01:53:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
"","0","setUp","SauceDemo Suite","Thu Oct 09 01:53:18 UTC 2025","broken","Thu Oct 09 01:53:18 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","setUp"
"","0","setUp","SauceDemo Suite","Thu Oct 09 01:53:19 UTC 2025","broken","Thu Oct 09 01:53:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","setUp"
"Verify that login with invalid password shows the correct error message and stays on login page","1","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin","SauceDemo Suite","Thu Oct 09 01:53:19 UTC 2025","skipped","Thu Oct 09 01:53:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin"
"","0","setUp","SauceDemo Suite","Thu Oct 09 01:53:18 UTC 2025","broken","Thu Oct 09 01:53:18 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","setUp"
"","0","setUp","SauceDemo Suite","Thu Oct 09 01:53:19 UTC 2025","broken","Thu Oct 09 01:53:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","setUp"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","0","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Thu Oct 09 01:53:19 UTC 2025","skipped","Thu Oct 09 01:53:19 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","1","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Thu Oct 09 01:53:20 UTC 2025","skipped","Thu Oct 09 01:53:20 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that clicking a product name opens its details page, and using the 'Back to Products' button correctly returns to the main product list.","1","TC_SD_010_productDetailsAndBack","SauceDemo Suite","Thu Oct 09 01:53:18 UTC 2025","skipped","Thu Oct 09 01:53:18 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
