"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that leaving the 'Postal Code' field empty during checkout shows the correct validation error and prevents moving to the next step.","20924","TC_SD_006_Negative_missingPostalCode_showsError","SauceDemo Suite","Thu Oct 09 03:02:55 UTC 2025","broken","Thu Oct 09 03:03:16 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingPostalCode_showsError"
"Verify that leaving the 'First Name' field empty during checkout displays an appropriate validation error and prevents continuation.","20923","TC_SD_006_Negative_missingFirstName_showsError","SauceDemo Suite","Thu Oct 09 03:02:13 UTC 2025","broken","Thu Oct 09 03:02:34 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingFirstName_showsError"
"Verify that selecting 'Name (A to Z)' from the sort dropdown arranges all products alphabetically in ascending order.","629","TC_SD_011_sortProductsByNameAToZ","SauceDemo Suite","Thu Oct 09 03:01:28 UTC 2025","passed","Thu Oct 09 03:01:29 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortByNameAToZTest","TC_SD_011_sortProductsByNameAToZ"
"Verify that selecting 'Price (low to high)' from the sort dropdown correctly arranges products in ascending order by price.","1613","TC_SD_007_sortByPriceLowToHigh","SauceDemo Suite","Thu Oct 09 02:59:37 UTC 2025","passed","Thu Oct 09 02:59:38 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoSortTest","TC_SD_007_sortByPriceLowToHigh"
"Verify that leaving the 'Last Name' field empty during checkout triggers the correct validation error message and prevents proceeding to the next step.","20914","TC_SD_006_Negative_missingLastName_showsError","SauceDemo Suite","Thu Oct 09 03:02:34 UTC 2025","broken","Thu Oct 09 03:02:55 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutNegativeTest","TC_SD_006_Negative_missingLastName_showsError"
"Verify that adding a single item updates the cart badge and displays the item inside the cart.","21032","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart","SauceDemo Suite","Thu Oct 09 02:59:39 UTC 2025","broken","Thu Oct 09 03:00:00 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_004_addSingleItemToCart_shouldShowBadgeAndItemInCart"
"Verify that removing an item from the cart empties it and hides the cart badge from the header.","20964","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge","SauceDemo Suite","Thu Oct 09 03:00:00 UTC 2025","broken","Thu Oct 09 03:00:21 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoAddToCartTest","TC_SD_005_removeItemFromCart_shouldEmptyCartAndHideBadge"
"Verify that a user can successfully log in with valid credentials and navigate to the products page","572","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts","SauceDemo Suite","Thu Oct 09 03:01:05 UTC 2025","passed","Thu Oct 09 03:01:05 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginValidTest","TC_SD_001_loginWithValidCredentials_shouldNavigateToProducts"
"Verify that login with invalid password shows the correct error message and stays on login page","505","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin","SauceDemo Suite","Thu Oct 09 03:01:27 UTC 2025","passed","Thu Oct 09 03:01:28 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginInvalidTest","TC_SD_002_loginWithInvalidPassword_shouldShowErrorAndStayOnLogin"
"Verify that clicking a product name opens its details page, and using the 'Back to Products' button correctly returns to the main product list.","20963","TC_SD_010_productDetailsAndBack","SauceDemo Suite","Thu Oct 09 03:00:22 UTC 2025","broken","Thu Oct 09 03:00:43 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoProductDetailsTest","TC_SD_010_productDetailsAndBack"
"Validate that item total, tax, and overall total are correctly calculated and displayed on the checkout overview page.","20957","TC_SD_012_verifyTotalsAndTaxOnOverview","SauceDemo Suite","Thu Oct 09 03:00:43 UTC 2025","broken","Thu Oct 09 03:01:04 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTotalsTest","TC_SD_012_verifyTotalsAndTaxOnOverview"
"Verify that a user can complete the full checkout process from cart to the 'Checkout: Complete!' page.","20951","TC_SD_006_completeCheckoutFlow","SauceDemo Suite","Thu Oct 09 03:01:50 UTC 2025","broken","Thu Oct 09 03:02:11 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCheckoutTest","TC_SD_006_completeCheckoutFlow"
"Verify that after logout, the user cannot access protected pages like inventory and is redirected back to the login page.","20632","TC_SD_009_logoutAndAccessProtection","SauceDemo Suite","Thu Oct 09 03:01:29 UTC 2025","broken","Thu Oct 09 03:01:50 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLogoutProtectionTest","TC_SD_009_logoutAndAccessProtection"
"Verify that a locked-out user cannot log in and receives the correct error message.","511","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError","SauceDemo Suite","Thu Oct 09 03:02:12 UTC 2025","passed","Thu Oct 09 03:02:12 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoLoginLockedOutTest","TC_SD_003_loginWithLockedOutUser_shouldShowLockedOutError"
"Verify that items added to the cart remain after navigating away and returning to the Products page.","20948","TC_SD_008_cartStatePersistsAfterNavigation","SauceDemo Suite","Thu Oct 09 03:01:06 UTC 2025","broken","Thu Oct 09 03:01:27 UTC 2025","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","All Tests","com.mycompany.selenium_automation_project.tests.SauceDemoCartPersistenceTest","TC_SD_008_cartStatePersistsAfterNavigation"
